Challenge-001	NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-002	OS(=O)(=O)c1ccc2ccc(cc2c1)S(O)(=O)=O	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-010	OS(=O)(=O)C1=NC2=CC=CC=C2S1	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-016	ClC1=CC2=C(C=C1)N(C1CCN(CCCN3C(=O)NC4=C3C=CC=C4)CC1)C(=O)N2	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-018	CC1=CC(=O)OC2=CC(OS(O)(=O)=O)=CC=C12	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-019	COC1=CC=C2N=C(NC2=C1)S(=O)CC1=NC=C(C)C(OC)=C1C	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-026	CC(=O)NC1=CC=C(Br)C=C1	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-027	OC1=CC(O)=C(C=C1)C(=O)C1=C(O)C=C(O)C=C1	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-029	OC1=CC=C(I)C=C1	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-032	CCOC1=CC=C2N=C(S)SC2=C1	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-041	OC(=O)C1=CC=CC=C1C(=O)OCC1=CC=CC=C1	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-042	OC1=C(Br)C=C(Br)C=C1	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-043	OC1=CC2=C(C=C1)C(=O)C1=CC=CC=C1C2=O	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-046	OC(=O)C1=C2C=CC=CC2=CC2=CC=CC=C12	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-047	OP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-050	CCOC1=Nc2cccc(C(O)=O)c2N1Cc1ccc(-c2ccccc2C2NN=NN=2)cc1	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-053	CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OC	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-054	OC1=CC(O)=C2C(=O)C3=CC=CC=C3C(=O)C2=C1O	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-066	OC(=O)C1=C(C=CC(OC2=C(Cl)C=C(Cl)C=C2)=C1)[N+]([O-])=O	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-067	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-068	Oc1c(Cl)c(Cl)c(C#N)c(Cl)c1C#N	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-069	ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-071	CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-072	NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-073	OC1=C(Br)C(Br)=C(Br)C(Br)=C1Br	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-076	Oc1c(Cl)cc(Cl)cc1C(=O)Nc1ccc(Cl)c(Cl)c1	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-077	OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1C(=O)NC1=CC=CC=C1	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-078	[H]C([H])(C([H])([H])S(O)(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-080	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-081	CCCCCCCCCCCCC1=CC=C(C=C1)S(O)(=O)=O	[M-H]-	35.0	Thermo Finnigan Elite Orbitrap
Challenge-083	CN(C)C1=CC=NC=C1	[M+H]+	35.0	Thermo Finnigan Elite Orbitrap
Challenge-086	NC1CCCCC1	[M+H]+	35.0	Thermo Finnigan Elite Orbitrap
Challenge-087	NC(=O)C1=C(C=CC=C1)[N+]([O-])=O	[M+H]+	35.0	Thermo Finnigan Elite Orbitrap
Challenge-089	COC(=O)C1=CN=CC=N1	[M+H]+	35.0	Thermo Finnigan Elite Orbitrap
Challenge-090	SC1=NC2=CC=CC=C2N1	[M+H]+	35.0	Thermo Finnigan Elite Orbitrap
Challenge-092	CC(=O)NC1=C(C)C=CC=C1	[M+H]+	35.0	Thermo Finnigan Elite Orbitrap
Challenge-097	Cn1c2cc(cnc2[nH]c1=N)-c1ccccc1	[M+H]+	35.0	Thermo Finnigan Elite Orbitrap
Challenge-098	Clc1ccc2c(CCc3cccnc3C2=C2CCNCC2)c1	[M+H]+	35.0	Thermo Finnigan Elite Orbitrap
Challenge-100	CC1CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1	[M+H]+	35.0	Thermo Finnigan Elite Orbitrap
